benchmark_id,detector,source_proton_MeV,shield_thickness_cm,off_axis_cm,energy_lower_MeV,energy_upper_MeV,lethargy_flux_n_cm2_per_uC,error_percent,geometry_id,source_normalization_id,additional_iron_collimator_cm,peak_source_intensity_x1e9_n_sr_uC,peak_source_intensity_n_sr_uC
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,43,44,6740.0,10.3,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,42,43,13200.0,6.3,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,41,42,19700.0,4.6,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,40,41,22700.0,4.7,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,39,40,20200.0,5.3,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,38,39,14000.0,6.0,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,37,38,7430.0,6.0,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,36,37,3130.0,5.8,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,35,36,1330.0,12.9,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,34,35,1020.0,17.8,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,33,34,1270.0,13.8,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,32,33,1610.0,11.4,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,31,32,1880.0,10.4,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,30,31,2050.0,9.5,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,29,30,2150.0,8.8,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,28,29,2170.0,9.1,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,27,28,2130.0,11.2,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,26,27,2040.0,15.0,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,25,26,1930.0,19.5,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,24,25,1820.0,22.3,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,23,24,1730.0,22.1,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,22,23,1670.0,17.9,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,21,22,1640.0,11.2,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,20,21,1640.0,4.9,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,19,20,1650.0,8.8,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,18,19,1630.0,13.3,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,17,18,1550.0,13.4,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
N001_JAERI_TIARA_43MEV,BC501A,43,25,0,16,17,1420.0,8.7,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0
